CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
25523,43962,70571,25410,18883,58283,79497,22157,34667
25409,48242,74806,28341,19488,63097,87103,22746,38733
25841,50979,75934,30246,21092,64913,91972,24034,40107
27352,51897,76211,30977,23597,65536,94089,25560,40632
29672,52812,76643,31340,25899,65770,96296,26504,42337
31705,54032,76891,31648,26785,65958,98855,27154,44473
33026,55155,76678,31696,26685,65840,101128,27892,46489
34116,56590,76500,31711,26424,65650,103681,28750,48640
34816,57846,76073,31682,26040,65411,106013,29382,50995
34996,58829,75305,31410,25667,64693,108075,29968,53036
34778,59438,75147,31280,25350,63990,109882,30460,54761
34940,59991,75044,31368,25148,63575,110876,30874,55873
34648,59872,75295,31459,25004,63748,110056,31186,55618
34129,59012,76843,31831,24808,64044,108384,31299,53976
34116,58851,80165,32797,25079,66158,108541,31411,52350
34172,59576,78375,32292,25256,67048,108778,31378,52610
34091,58306,73435,30036,25682,63795,103195,31795,50399
35525,54243,67978,27243,26015,59264,94166,31569,46015
35972,49637,64279,24850,25462,55882,85411,30011,41208
34089,46216,61983,23349,23497,53993,79354,27361,37571
31095,43970,60971,22399,21428,52847,75521,25084,35309
28362,43056,60968,22061,19965,52488,73657,23730,33932
27089,42462,62459,22205,19259,53044,73208,22805,33210
26280,43056,66889,23227,18869,55504,75553,22364,33338
25657,45149,74594,25582,18820,60927,82066,22314,35175
25590,49270,78939,28586,19224,65346,89834,22769,39327
26281,52087,79952,30697,20706,66941,94431,24177,40646
27915,53507,80031,31626,23214,67194,96489,25731,41361
30344,53944,79674,31967,25464,66935,98267,26794,43196
32214,54708,79150,32065,26446,66461,100163,27251,45438
33161,55367,78413,31981,26476,65878,101727,27715,47503
33963,56165,78167,31813,26399,65499,103443,28376,49575
