Counter,id,operational_status,capacity_mw,technology_description,OEO_region
1330,3960,existing,3.2,Natural Gas Internal Combustion Engine,SE
1331,3961,existing,1.1,Landfill Gas,N_CEN
1333,3964,existing,1.1,Other Natural Gas,CA
1334,3965,existing,1.1,Other Natural Gas,CA
1335,3966,existing,1.1,Other Natural Gas,CA
1336,3967,existing,1.1,Other Natural Gas,CA
1337,3968,existing,1.1,Other Natural Gas,NE
1338,3969,existing,1.1,Other Natural Gas,CA
1342,3975,existing,3.5,Natural Gas Fired Combustion Turbine,N_CEN
1343,3977,existing,2.7,Landfill Gas,N_CEN
1344,3978,existing,2.7,Landfill Gas,N_CEN
1345,3979,existing,2.7,Landfill Gas,N_CEN
1346,3980,existing,2.7,Landfill Gas,N_CEN
1347,3981,existing,2.7,Landfill Gas,N_CEN
1348,3982,existing,2.7,Landfill Gas,N_CEN
1354,3990,existing,2.9,Other Waste Biomass,N_CEN
1355,3991,existing,2.9,Other Waste Biomass,N_CEN
1356,3992,existing,271,Natural Gas Fired Combined Cycle,SW
1357,3993,existing,174,Natural Gas Fired Combined Cycle,SW
1358,3994,existing,174,Natural Gas Fired Combined Cycle,SW
1360,3996,existing,1.1,Landfill Gas,MID_AT
1361,3997,existing,1.1,Landfill Gas,MID_AT
1368,4008,existing,1,Other Waste Biomass,N_CEN
1369,4009,existing,1,Other Waste Biomass,N_CEN
1370,4010,existing,1,Other Waste Biomass,N_CEN
1371,4011,existing,1,Other Waste Biomass,N_CEN
1372,4012,existing,1,Other Waste Biomass,N_CEN
1373,4013,existing,1,Other Waste Biomass,N_CEN
1374,4014,existing,361.3,Natural Gas Fired Combined Cycle,MID_AT
1375,4015,existing,235.5,Natural Gas Fired Combined Cycle,MID_AT
1376,4016,existing,235.5,Natural Gas Fired Combined Cycle,MID_AT
1385,4025,existing,404,Natural Gas Fired Combined Cycle,MID_AT
1386,4026,existing,1.5,Petroleum Liquids,MID_AT
1387,4027,existing,328,Natural Gas Fired Combined Cycle,MID_AT
1388,4028,existing,328,Natural Gas Fired Combined Cycle,MID_AT
1389,4029,existing,1,Landfill Gas,SE
1390,4030,existing,1,Landfill Gas,SE
1394,4034,existing,3.3,Landfill Gas,MID_AT
1395,4035,existing,1.6,Landfill Gas,MID_AT
1396,4036,existing,1.6,Landfill Gas,MID_AT
1423,4066,existing,2,Natural Gas Fired Combustion Turbine,SE
1424,4067,existing,2,Natural Gas Fired Combustion Turbine,SE
1425,4068,existing,18.7,Natural Gas Internal Combustion Engine,CEN
1426,4069,existing,18.7,Natural Gas Internal Combustion Engine,CEN
1427,4070,existing,18.7,Natural Gas Internal Combustion Engine,CEN
1433,4083,existing,0.2,Petroleum Liquids,NE
1434,4084,existing,0.4,Petroleum Liquids,NE
1435,4085,existing,0.2,Petroleum Liquids,NE
1436,4086,existing,0.4,Petroleum Liquids,NE
1437,4087,existing,0.1,Petroleum Liquids,NE
1438,4088,existing,0.2,Petroleum Liquids,NE
1439,4089,existing,0.2,Petroleum Liquids,NE
1441,4091,existing,0.3,Petroleum Liquids,NE
1442,4092,existing,0.2,Petroleum Liquids,NE
1449,4099,existing,1.6,Landfill Gas,SE
1450,4100,existing,1.6,Landfill Gas,SE
1451,4101,existing,1.6,Landfill Gas,SE
1452,4102,existing,1.6,Landfill Gas,SE
1458,4108,existing,1.6,Other Waste Biomass,NW
1466,4124,existing,0.3,Landfill Gas,SE
1467,4125,existing,0.3,Landfill Gas,SE
1468,4126,existing,0.3,Landfill Gas,SE
1469,4127,existing,0.3,Landfill Gas,SE
1470,4128,existing,0.3,Landfill Gas,SE
1471,4129,existing,0.3,Landfill Gas,SE
1472,4130,existing,0.3,Landfill Gas,SE
1473,4131,existing,0.3,Landfill Gas,SE
1474,4132,existing,0.3,Landfill Gas,SE
1475,4133,existing,0.3,Landfill Gas,SE
1476,4134,existing,0.3,Landfill Gas,SE
1477,4135,existing,0.3,Landfill Gas,SE
1478,4136,existing,0.3,Landfill Gas,SE
1479,4137,existing,0.3,Landfill Gas,SE
1480,4138,existing,0.3,Landfill Gas,SE
1481,4139,existing,0.3,Landfill Gas,SE
1482,4140,existing,0.3,Landfill Gas,SE
1483,4141,existing,0.3,Landfill Gas,SE
1484,4142,existing,0.3,Landfill Gas,SE
