Region_Name,Output_Title,Output_value
NW,Iter 1: New VRE Cluster 34 CapCred,0.5
NW,Iter 2: New VRE Cluster 34 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 34 CapCred,0.5
NW,Iter 1: New VRE Cluster 35 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 35 CapCred,0.5
NW,Iter 2: New VRE Cluster 35 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 35 CapCred,0.5
NW,Iter 1: New VRE Cluster 36 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 36 CapCred,0.5
NW,Iter 2: New VRE Cluster 36 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 36 CapCred,0.5
NW,Iter 1: New VRE Cluster 37 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 37 CapCred,0.5
NW,Iter 2: New VRE Cluster 37 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 37 CapCred,0.5
NW,Iter 1: New VRE Cluster 38 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 38 CapCred,0.5
NW,Iter 2: New VRE Cluster 38 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 38 CapCred,0.5
NW,Iter 1: New VRE Cluster 39 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 39 CapCred,0.5
NW,Iter 2: New VRE Cluster 39 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 39 CapCred,0.5
NW,Iter 1: New VRE Cluster 40 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 40 CapCred,0.5
NW,Iter 2: New VRE Cluster 40 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 40 CapCred,0.5
NW,Iter 1: New VRE Cluster 41 ELCC (MW),500.0
NW,Iter 1: New VRE Cluster 41 CapCred,0.5
NW,Iter 2: New VRE Cluster 41 ELCC (MW),500.0
NW,Iter 2: New VRE Cluster 41 CapCred,0.5
NW,Iter 1: New VRE Cluster 42 ELCC (MW),500.0
