,id,operational_status,capacity_mw,technology_description,OEO_region
239,2568,existing,1,Solar Photovoltaic,N_CEN
240,2569,existing,1,Solar Photovoltaic,N_CEN
241,2570,existing,1,Solar Photovoltaic,N_CEN
242,2571,existing,1,Solar Photovoltaic,N_CEN
243,2572,existing,1,Solar Photovoltaic,N_CEN
244,2573,existing,1,Solar Photovoltaic,N_CEN
245,2574,existing,1,Solar Photovoltaic,N_CEN
246,2575,existing,1,Solar Photovoltaic,N_CEN
247,2576,existing,1,Solar Photovoltaic,N_CEN
248,2577,existing,1,Solar Photovoltaic,N_CEN
249,2578,existing,1,Solar Photovoltaic,N_CEN
250,2579,existing,1,Solar Photovoltaic,N_CEN
251,2580,existing,1,Solar Photovoltaic,N_CEN
252,2581,existing,1,Solar Photovoltaic,N_CEN
253,2582,existing,1,Solar Photovoltaic,N_CEN
254,2583,existing,1,Solar Photovoltaic,N_CEN
255,2584,existing,1,Solar Photovoltaic,N_CEN
256,2585,existing,1,Solar Photovoltaic,N_CEN
257,2586,existing,1,Solar Photovoltaic,N_CEN
260,2593,existing,6.8,Onshore Wind Turbine,CEN
261,2594,existing,1.7,Onshore Wind Turbine,CEN
262,2595,existing,4.1,Solar Photovoltaic,SE
263,2596,existing,5,Solar Photovoltaic,SE
267,2607,existing,1,Solar Photovoltaic,CEN
268,2608,existing,2.8,Solar Photovoltaic,MID_AT
269,2609,existing,2,Solar Photovoltaic,SE
270,2610,existing,2,Solar Photovoltaic,SE
271,2611,existing,2,Solar Photovoltaic,SE
272,2612,existing,1.3,Solar Photovoltaic,N_CEN
274,2617,existing,3,Solar Photovoltaic,CA
275,2618,existing,1,Solar Photovoltaic,MID_AT
276,2619,existing,2,Solar Photovoltaic,MID_AT
277,2620,existing,2.3,Solar Photovoltaic,NE
278,2621,existing,1.7,Onshore Wind Turbine,N_CEN
280,2623,existing,1,Solar Photovoltaic,NE
281,2624,existing,2.4,Solar Photovoltaic,NE
282,2626,existing,4.5,Solar Photovoltaic,NE
284,2628,existing,99.3,Onshore Wind Turbine,N_CEN
285,2629,existing,2,Solar Photovoltaic,NE
290,2634,existing,253,Onshore Wind Turbine,TX
291,2635,existing,250,Onshore Wind Turbine,TX
292,2641,existing,1.5,Solar Photovoltaic,N_CEN
293,2642,existing,2,Solar Photovoltaic,N_CEN
294,2643,existing,1,Solar Photovoltaic,N_CEN
295,2644,existing,1,Solar Photovoltaic,N_CEN
296,2645,existing,1.1,Solar Photovoltaic,N_CEN
297,2646,existing,2.2,Solar Photovoltaic,N_CEN
298,2647,existing,1,Solar Photovoltaic,N_CEN
299,2648,existing,1,Solar Photovoltaic,N_CEN
300,2649,existing,1,Solar Photovoltaic,N_CEN
301,2650,existing,20,Solar Photovoltaic,SW
302,2651,existing,50,Solar Photovoltaic,SW
303,2653,existing,32.9,Onshore Wind Turbine,N_CEN
304,2654,existing,74.5,Onshore Wind Turbine,N_CEN
305,2655,existing,41.6,Onshore Wind Turbine,N_CEN
306,2657,existing,1.1,Solar Photovoltaic,SE
307,2658,existing,1,Solar Photovoltaic,NE
308,2659,existing,1,Solar Photovoltaic,NE
309,2660,existing,2,Solar Photovoltaic,NE
310,2661,existing,1.9,Solar Photovoltaic,NE
311,2662,existing,5,Solar Photovoltaic,NE
312,2663,existing,1.8,Solar Photovoltaic,N_CEN
313,2664,existing,4.7,Solar Photovoltaic,NE
314,2665,existing,5,Solar Photovoltaic,NE
315,2668,existing,9.5,Solar Photovoltaic,CA
316,2670,existing,3.3,Solar Photovoltaic,NE
317,2671,existing,2,Solar Photovoltaic,NE
318,2672,existing,4,Onshore Wind Turbine,NE
319,2673,existing,5.4,Solar Photovoltaic,N_CEN
320,2675,existing,2.7,Solar Photovoltaic,CA
321,2676,existing,1,Solar Photovoltaic,NE
322,2678,existing,2,Solar Photovoltaic,NE
323,2679,existing,1,Solar Photovoltaic,MID_AT
324,2680,existing,163,Onshore Wind Turbine,TX
325,2681,existing,2.9,Solar Photovoltaic,NE
326,2682,existing,3.5,Solar Photovoltaic,NE
327,2683,existing,3.1,Solar Photovoltaic,SE
328,2684,existing,2,Solar Photovoltaic,NE
329,2685,existing,2,Solar Photovoltaic,NE
330,2687,existing,1.7,Solar Photovoltaic,MID_AT
331,2688,existing,2.2,Solar Photovoltaic,MID_AT
332,2689,existing,1.2,Solar Photovoltaic,MID_AT
333,2690,existing,1.1,Solar Photovoltaic,CA
334,2691,existing,2.3,Solar Photovoltaic,CA
335,2692,existing,3.8,Solar Photovoltaic,CA
336,2693,existing,0.4,Solar Photovoltaic,MID_AT
337,2694,existing,1,Solar Photovoltaic,MID_AT
338,2695,existing,0.2,Solar Photovoltaic,MID_AT
339,2696,existing,0.6,Solar Photovoltaic,MID_AT
340,2697,existing,0.5,Solar Photovoltaic,MID_AT
341,2698,existing,1.7,Solar Photovoltaic,MID_AT
342,2699,existing,1.2,Solar Photovoltaic,MID_AT
343,2700,existing,1.6,Solar Photovoltaic,MID_AT
344,2701,existing,2.5,Solar Photovoltaic,MID_AT
345,2702,existing,3,Solar Photovoltaic,N_CEN
346,2703,existing,5,Solar Photovoltaic,N_CEN
347,2704,existing,5,Solar Photovoltaic,N_CEN
348,2705,existing,3.9,Solar Photovoltaic,N_CEN
349,2706,existing,5,Solar Photovoltaic,N_CEN
350,2707,existing,5,Solar Photovoltaic,N_CEN
351,2708,existing,5,Solar Photovoltaic,N_CEN
353,2710,existing,5,Solar Photovoltaic,N_CEN
354,2716,existing,1,Solar Photovoltaic,CA
355,2717,existing,2.3,Solar Photovoltaic,CEN
356,2718,existing,1.4,Solar Photovoltaic,SW
357,2719,existing,2.8,Solar Photovoltaic,SW
