Region_Name,Output_Title,Output_value
TX,Iter 2: New VRE Cluster 3 ELCC (MW),1000.0
TX,Iter 2: New VRE Cluster 3 CapCred,1.0
TX,Iter 1: New VRE Cluster 4 ELCC (MW),500.0
TX,Iter 1: New VRE Cluster 4 CapCred,0.5
TX,Iter 2: New VRE Cluster 4 ELCC (MW),500.0
TX,Iter 2: New VRE Cluster 4 CapCred,0.5
TX,Iter 1: New VRE Cluster 5 ELCC (MW),500.0
TX,Iter 1: New VRE Cluster 5 CapCred,0.5
TX,Iter 2: New VRE Cluster 5 ELCC (MW),500.0
TX,Iter 2: New VRE Cluster 5 CapCred,0.5
TX,Iter 1: New VRE Cluster 6 ELCC (MW),500.0
TX,Iter 1: New VRE Cluster 6 CapCred,0.5
TX,Iter 2: New VRE Cluster 6 ELCC (MW),500.0
TX,Iter 2: New VRE Cluster 6 CapCred,0.5
TX,Iter 1: New VRE Cluster 7 ELCC (MW),500.0
TX,Iter 1: New VRE Cluster 7 CapCred,0.5
TX,Iter 2: New VRE Cluster 7 ELCC (MW),500.0
TX,Iter 2: New VRE Cluster 7 CapCred,0.5
TX,Iter 1: New VRE Cluster 8 ELCC (MW),500.0
TX,Iter 1: New VRE Cluster 8 CapCred,0.5
TX,Iter 2: New VRE Cluster 8 ELCC (MW),500.0
TX,Iter 2: New VRE Cluster 8 CapCred,0.5
TX,Iter 1: New VRE Cluster 9 ELCC (MW),500.0
TX,Iter 1: New VRE Cluster 9 CapCred,0.5
TX,Iter 2: New VRE Cluster 9 ELCC (MW),1000.0
TX,Iter 2: New VRE Cluster 9 CapCred,1.0
TX,Iter 1: New VRE Cluster 10 ELCC (MW),500.0
TX,Iter 1: New VRE Cluster 10 CapCred,0.5
TX,Iter 2: New VRE Cluster 10 ELCC (MW),1000.0
TX,Iter 2: New VRE Cluster 10 CapCred,1.0
TX,Iter 1: New VRE Cluster 11 ELCC (MW),500.0
TX,Iter 1: New VRE Cluster 11 CapCred,0.5
TX,Iter 2: New VRE Cluster 11 ELCC (MW),500.0
TX,Iter 2: New VRE Cluster 11 CapCred,0.5
N_CEN,Base Ls value (MW),14500.0
N_CEN,E_Solar_ELCC (MW),500.0
N_CEN,E_Solar_CapCred,0.7092198581560284
N_CEN,E_On_Wind_ELCC (MW),2500.0
N_CEN,E_On_Wind_CapCred,0.12190661952944044
N_CEN,Iter 1: New VRE Cluster 1 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 1 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 1 ELCC (MW),500.0
N_CEN,Iter 2: New VRE Cluster 1 CapCred,0.5
N_CEN,Iter 1: New VRE Cluster 2 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 2 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 2 ELCC (MW),500.0
N_CEN,Iter 2: New VRE Cluster 2 CapCred,0.5
N_CEN,Iter 1: New VRE Cluster 3 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 3 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 3 ELCC (MW),500.0
N_CEN,Iter 2: New VRE Cluster 3 CapCred,0.5
N_CEN,Iter 1: New VRE Cluster 4 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 4 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 4 ELCC (MW),500.0
N_CEN,Iter 2: New VRE Cluster 4 CapCred,0.5
N_CEN,Iter 1: New VRE Cluster 5 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 5 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 5 ELCC (MW),500.0
N_CEN,Iter 2: New VRE Cluster 5 CapCred,0.5
N_CEN,Iter 1: New VRE Cluster 6 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 6 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 6 ELCC (MW),500.0
N_CEN,Iter 2: New VRE Cluster 6 CapCred,0.5
N_CEN,Iter 1: New VRE Cluster 7 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 7 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 7 ELCC (MW),1000.0
N_CEN,Iter 2: New VRE Cluster 7 CapCred,1.0
N_CEN,Iter 1: New VRE Cluster 8 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 8 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 8 ELCC (MW),1000.0
N_CEN,Iter 2: New VRE Cluster 8 CapCred,1.0
N_CEN,Iter 1: New VRE Cluster 9 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 9 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 9 ELCC (MW),1000.0
N_CEN,Iter 2: New VRE Cluster 9 CapCred,1.0
N_CEN,Iter 1: New VRE Cluster 10 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 10 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 10 ELCC (MW),1000.0
N_CEN,Iter 2: New VRE Cluster 10 CapCred,1.0
N_CEN,Iter 1: New VRE Cluster 11 ELCC (MW),500.0
N_CEN,Iter 1: New VRE Cluster 11 CapCred,0.5
N_CEN,Iter 2: New VRE Cluster 11 ELCC (MW),500.0
N_CEN,Iter 2: New VRE Cluster 11 CapCred,0.5
CEN,Base Ls value (MW),15500.0
CEN,E_Solar_ELCC (MW),500.0
CEN,E_Solar_CapCred,1.486767766874814
CEN,E_On_Wind_ELCC (MW),1500.0
CEN,E_On_Wind_CapCred,0.08173941474579043
CEN,Iter 1: New VRE Cluster 1 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 1 CapCred,0.5
CEN,Iter 2: New VRE Cluster 1 ELCC (MW),500.0
CEN,Iter 2: New VRE Cluster 1 CapCred,0.5
CEN,Iter 1: New VRE Cluster 2 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 2 CapCred,0.5
CEN,Iter 2: New VRE Cluster 2 ELCC (MW),500.0
CEN,Iter 2: New VRE Cluster 2 CapCred,0.5
CEN,Iter 1: New VRE Cluster 3 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 3 CapCred,0.5
CEN,Iter 2: New VRE Cluster 3 ELCC (MW),500.0
CEN,Iter 2: New VRE Cluster 3 CapCred,0.5
CEN,Iter 1: New VRE Cluster 4 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 4 CapCred,0.5
CEN,Iter 2: New VRE Cluster 4 ELCC (MW),500.0
CEN,Iter 2: New VRE Cluster 4 CapCred,0.5
CEN,Iter 1: New VRE Cluster 5 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 5 CapCred,0.5
CEN,Iter 2: New VRE Cluster 5 ELCC (MW),500.0
CEN,Iter 2: New VRE Cluster 5 CapCred,0.5
CEN,Iter 1: New VRE Cluster 6 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 6 CapCred,0.5
CEN,Iter 2: New VRE Cluster 6 ELCC (MW),500.0
CEN,Iter 2: New VRE Cluster 6 CapCred,0.5
CEN,Iter 1: New VRE Cluster 7 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 7 CapCred,0.5
CEN,Iter 2: New VRE Cluster 7 ELCC (MW),500.0
CEN,Iter 2: New VRE Cluster 7 CapCred,0.5
CEN,Iter 1: New VRE Cluster 8 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 8 CapCred,0.5
CEN,Iter 2: New VRE Cluster 8 ELCC (MW),1000.0
CEN,Iter 2: New VRE Cluster 8 CapCred,1.0
CEN,Iter 1: New VRE Cluster 9 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 9 CapCred,0.5
CEN,Iter 2: New VRE Cluster 9 ELCC (MW),1000.0
CEN,Iter 2: New VRE Cluster 9 CapCred,1.0
CEN,Iter 1: New VRE Cluster 10 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 10 CapCred,0.5
CEN,Iter 2: New VRE Cluster 10 ELCC (MW),1000.0
CEN,Iter 2: New VRE Cluster 10 CapCred,1.0
CEN,Iter 1: New VRE Cluster 11 ELCC (MW),500.0
CEN,Iter 1: New VRE Cluster 11 CapCred,0.5
CEN,Iter 2: New VRE Cluster 11 ELCC (MW),1000.0
CEN,Iter 2: New VRE Cluster 11 CapCred,1.0
SE,Base Ls value (MW),48500.0
SE,E_Solar_ELCC (MW),2500.0
SE,E_Solar_CapCred,0.48673169402098787
SE,E_On_Wind_ELCC (MW),500.0
SE,E_On_Wind_CapCred,17.361111111111107
SE,Iter 1: New VRE Cluster 1 ELCC (MW),1000.0
SE,Iter 1: New VRE Cluster 1 CapCred,1.0
SE,Iter 2: New VRE Cluster 1 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 1 CapCred,0.5
SE,Iter 1: New VRE Cluster 2 ELCC (MW),1000.0
SE,Iter 1: New VRE Cluster 2 CapCred,1.0
SE,Iter 2: New VRE Cluster 2 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 2 CapCred,0.5
SE,Iter 1: New VRE Cluster 3 ELCC (MW),1000.0
SE,Iter 1: New VRE Cluster 3 CapCred,1.0
SE,Iter 2: New VRE Cluster 3 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 3 CapCred,0.5
SE,Iter 1: New VRE Cluster 4 ELCC (MW),1000.0
SE,Iter 1: New VRE Cluster 4 CapCred,1.0
SE,Iter 2: New VRE Cluster 4 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 4 CapCred,0.5
SE,Iter 1: New VRE Cluster 5 ELCC (MW),1000.0
SE,Iter 1: New VRE Cluster 5 CapCred,1.0
SE,Iter 2: New VRE Cluster 5 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 5 CapCred,0.5
SE,Iter 1: New VRE Cluster 6 ELCC (MW),1000.0
SE,Iter 1: New VRE Cluster 6 CapCred,1.0
SE,Iter 2: New VRE Cluster 6 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 6 CapCred,0.5
SE,Iter 1: New VRE Cluster 7 ELCC (MW),1000.0
SE,Iter 1: New VRE Cluster 7 CapCred,1.0
SE,Iter 2: New VRE Cluster 7 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 7 CapCred,0.5
SE,Iter 1: New VRE Cluster 8 ELCC (MW),1000.0
SE,Iter 1: New VRE Cluster 8 CapCred,1.0
SE,Iter 2: New VRE Cluster 8 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 8 CapCred,0.5
SE,Iter 1: New VRE Cluster 9 ELCC (MW),500.0
